Preprocessing,Embedding Model,Classifier,Accuracy,Precision,Recall,F1-Score
Stemmed,Word2Vec,RandomForest,0.762,0.7653110823071938,0.75576,0.7605055546610852
Stemmed,Word2Vec,Logistic regression,0.80348,0.8102559908399444,0.79256,0.8013103085695799
Stemmed,Word2Vec,XGBoost,0.785,0.78876550214801,0.77848,0.7835890002818375
Stemmed,Word2Vec,SVC,0.82088,0.8238333602454384,0.81632,0.8200594711886201
Lemmatized,Word2Vec,RandomForest,0.805,0.8102872955155855,0.79648,0.8033243232339533
Lemmatized,Word2Vec,Logistic regression,0.84476,0.853035143769968,0.83304,0.842919010806654
Lemmatized,Word2Vec,XGBoost,0.83248,0.8352153573156961,0.8284,0.8317937183709535
Lemmatized,Word2Vec,SVC,0.85928,0.8604912506020228,0.8576,0.8590431925635067
Stemmed,GloVe,RandomForest,0.74008,0.7409667576682191,0.73824,0.7396008655926906
Stemmed,GloVe,Logistic regression,0.79972,0.8020153164046755,0.79592,0.7989560329251154
Stemmed,GloVe,XGBoost,0.77272,0.7742558326629123,0.76992,0.7720818291215403
Stemmed,GloVe,SVC,0.7964,0.7999028654686741,0.79056,0.795203991309246
Lemmatized,GloVe,RandomForest,0.77768,0.7775467775467776,0.77792,0.7777333439974407
Lemmatized,GloVe,Logistic regression,0.83504,0.8410978986805668,0.82616,0.8335620308338042
Lemmatized,GloVe,XGBoost,0.8112,0.8166720937805275,0.80256,0.8095545513234345
Lemmatized,GloVe,SVC,0.8314,0.8384671950322738,0.82096,0.8296212458062169
Mini,Sentence-BERT,RandomForest,0.8184809212374112,0.8164713385952324,0.8217122683142101,0.819083419979205
Mini,Sentence-BERT,Logistic regression,0.8614532760903583,0.8652505269985407,0.8562946321110487,0.8607492841876033
Mini,Sentence-BERT,XGBoost,0.8383019700678088,0.8431675754862863,0.83126053117227,0.8371717171717171
Mini,Sentence-BERT,SVC,0.8706014524736188,0.8738870001618909,0.8662440824841531,0.8700487569005118
