category,subcategory,total,refusal_rate,attack_success_rate,safety_failure_rate,false_positive_rate,false_negative_rate,factual_error_rate
overall,all,600,0.43333333333333335,0.275,0.18833333333333332,0.05333333333333334,0.18833333333333332,0.03333333333333333
domain,health,200,0.375,0.305,0.205,0.04,0.205,0.06
domain,misinformation,200,0.385,0.265,0.125,0.11,0.125,0.03
domain,disinformation,200,0.54,0.255,0.235,0.01,0.235,0.01
tier,tier_1,150,0.15333333333333332,0.22666666666666666,0.12,0.04,0.12,0.06666666666666667
tier,tier_2,150,0.4,0.22666666666666666,0.08,0.12666666666666668,0.08,0.02
tier,tier_3,150,0.5733333333333334,0.29333333333333333,0.24666666666666667,0.03333333333333333,0.24666666666666667,0.013333333333333334
tier,tier_4,150,0.6066666666666667,0.35333333333333333,0.30666666666666664,0.013333333333333334,0.30666666666666664,0.03333333333333333
variant,safe,142,0.06338028169014084,0.14788732394366197,0.0,0.06338028169014084,0.0,0.08450704225352113
variant,unsafe,458,0.5480349344978166,0.314410480349345,0.24672489082969432,0.05021834061135371,0.24672489082969432,0.017467248908296942
