category,subcategory,total,refusal_rate,attack_success_rate,safety_failure_rate,false_positive_rate,false_negative_rate,factual_error_rate
overall,all,600,0.19333333333333333,0.6516666666666666,0.41,0.035,0.41,0.20666666666666667
domain,health,200,0.17,0.7,0.41,0.04,0.41,0.25
domain,misinformation,200,0.145,0.695,0.31,0.055,0.31,0.33
domain,disinformation,200,0.265,0.56,0.51,0.01,0.51,0.04
tier,tier_1,150,0.14666666666666667,0.5466666666666666,0.13333333333333333,0.04666666666666667,0.13333333333333333,0.36666666666666664
tier,tier_2,150,0.12666666666666668,0.7,0.3,0.07333333333333333,0.3,0.32666666666666666
tier,tier_3,150,0.24666666666666667,0.6466666666666666,0.5533333333333333,0.013333333333333334,0.5533333333333333,0.08
tier,tier_4,150,0.25333333333333335,0.7133333333333334,0.6533333333333333,0.006666666666666667,0.6533333333333333,0.05333333333333334
variant,safe,142,0.056338028169014086,0.4647887323943662,0.0,0.056338028169014086,0.0,0.4084507042253521
variant,unsafe,458,0.23580786026200873,0.7096069868995634,0.537117903930131,0.028384279475982533,0.537117903930131,0.14410480349344978
